_id,description,base,cell,pbc,defects
6141cf0efbfd4bd9ab2c2f7c,X1,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'S'}]"
6141cf0e51c1cbd9654b886e,X2,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
6141cf0fe689ecc4c43cdd49,X3,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf10b842c2e72e2f2d42,X4,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf10cc0e69a0cf28ab33,X5,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf11ae4fb853db2e3f12,V1,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}]"
6141cf1102d926221cabc543,V2,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}]"
6141cf123ac25c70a5c6c835,V3,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
6141cf1369b0784ffcf8f84d,V4,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf13ee0a3fd43fb479d5,V5,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf1431cf3ef3d4a9ed3c,V6,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'vacancy', 'element': 'Mo'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf15c819ca30b196b471,S1,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}]"
6141cf15a05be5973bd77a65,S2,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}]"
6141cf16baaf234b35290184,S3,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'vacancy', 'element': 'S'}]"
6141cf171d648932fbc3428d,S4,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf179cbada84a86767c1,S5,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
6141cf184e27a1844a5efff8,S6,MoS2,"(8, 8, 1)","[True, True, False]","[{'type': 'substitution', 'from': 'Mo', 'to': 'W'}, {'type': 'vacancy', 'element': 'S'}, {'type': 'substitution', 'from': 'S', 'to': 'Se'}]"
